text,sentiment
Semma awesomeu da! Vera level magizhchi.,Positive 😀 (score: 3)
Super happy with the service! Nandri for the amazing help!,Positive 😀 (score: 4)
Thalaiva mass performance! Santosham da!,Positive 😀 (score: 3)
Arumaai! Beautiful design and quality.,Positive 😀 (score: 2)
Inbam than! Perfect experience overall.,Positive 😀 (score: 2)
Mosam! Poor quality product and terrible service.,Negative 😞 (score: 3)
"Kevalam! Waste of money, very disappointing.",Negative 😞 (score: 2)
"Sokka! Bad experience, romba varutham.",Negative 😞 (score: 2)
Azhudhu! Pathetic customer support.,Negative 😞 (score: 2)
"Ketta! Horrible attitude, cannot tolerate.",Negative 😞 (score: 1)
This is a regular product with standard features.,Neutral 😐
"The service was okay, nothing special.",Neutral 😐
"Average quality, meets basic expectations.",Neutral 😐
"Standard delivery time, no issues.",Neutral 😐
"Normal experience, as expected.",Neutral 😐
Great movie! Excellent storyline and acting.,Positive 😀 (score: 2)
"Worst purchase ever, complete waste.",Negative 😞 (score: 2)
The product works as described.,Neutral 😐
Outstanding customer service! Very helpful team.,Positive 😀 (score: 2)
"Disappointing quality, not worth the price.",Neutral 😐
Decent product for everyday use.,Neutral 😐
Fantastic experience! Will recommend to friends.,Positive 😀 (score: 1)
"Poor packaging, item arrived damaged.",Negative 😞 (score: 2)
"Standard features, nothing extraordinary.",Neutral 😐
Amazing value for money! Highly satisfied.,Positive 😀 (score: 1)
