id,text,category
1,Customer support semma helpful ah irukku,Support
2,Website navigation easy ah irukku,Website
3,Payment process la some glitch irukku,Payment
4,Delivery experience was smooth,Delivery
5,Product quality semma consistent ah irukku,Product
6,Return policy complicated ah irukku,Policy
7,Mobile app user friendly ah design pannirukku,App
8,Offers and discounts attractive ah irukku,Offers
9,"Packaging could be better, damaged vanthuchu",Packaging
10,Overall shopping experience satisfactory,General
