id,text,product
1,Semma quality da! Vera level mobile phone,Mobile Phone
2,Battery life romba waste aguthu,Mobile Phone
3,"Camera super ah irukku, pakka worth it",Mobile Phone
4,"Delivery slow ah vanthuchu, but product ok",Mobile Phone
5,"Display vera level clarity, semma happy",Mobile Phone
6,Price konjam high but quality worth it,Mobile Phone
7,After sales service romba poor,Mobile Phone
8,Build quality semma strong ah irukku,Mobile Phone
9,Features ellam super ah work aguthu,Mobile Phone
10,"Overall satisfied, recommend pannuven",Mobile Phone
